order_id,quantity,item_name,choice_description,item_price,Quartile
1,1,Chips and Fresh Tomato Salsa,,2.39,low-cost
1,1,Izze,[Clementine],3.39,low-cost
1,1,Nantucket Nectar,[Apple],3.39,low-cost
1,1,Chips and Tomatillo-Green Chili Salsa,,2.39,low-cost
2,2,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]",16.98,medium-cost
3,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,medium-cost
3,1,Side of Chips,,1.69,low-cost
4,1,Steak Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,medium-cost
4,1,Steak Soft Tacos,"[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,low-cost
5,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,low-cost
5,1,Chips and Guacamole,,4.45,low-cost
6,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]",8.75,low-cost
6,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",8.75,low-cost
7,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]",11.25,medium-cost
7,1,Chips and Guacamole,,4.45,low-cost
8,1,Chips and Tomatillo-Green Chili Salsa,,2.39,low-cost
8,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]]",8.49,low-cost
9,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.49,low-cost
9,2,Canned Soda,[Sprite],2.18,low-cost
10,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]",8.75,low-cost
10,1,Chips and Guacamole,,4.45,low-cost
