item_name,item_price
Chips and Fresh Tomato Salsa,44.25
Carnitas Bowl,35.25
Chicken Burrito,35.0
Chicken Burrito,35.0
Veggie Burrito,33.75
Chicken Bowl,32.94
Steak Burrito,27.75
Steak Burrito,27.75
Chicken Burrito,26.25
Chicken Burrito,26.25
Chicken Bowl,26.25
Steak Bowl,26.07
Steak Salad Bowl,23.78
Steak Salad Bowl,23.78
Steak Bowl,23.5
Steak Bowl,23.5
Carnitas Bowl,23.5
Steak Bowl,23.5
Steak Bowl,23.5
Steak Burrito,23.5
Steak Burrito,22.96
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Bowl,22.5
Chicken Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Salad Bowl,22.5
Chicken Bowl,22.5
Bowl,22.2
Steak Burrito,22.16
Steak Burrito,22.16
Chicken Soft Tacos,21.96
Chicken Burrito,21.96
Chicken Bowl,21.96
Chicken Bowl,21.96
Chicken Bowl,21.96
Chicken Bowl,21.96
Chicken Bowl,21.96
Chicken Bowl,21.96
Chicken Bowl,21.96
Chicken Burrito,21.96
Steak Burrito,18.5
Steak Burrito,18.5
Steak Burrito,18.5
Steak Bowl,18.5
Steak Burrito,18.5
Steak Bowl,18.5
Barbacoa Crispy Tacos,18.5
Steak Burrito,18.5
Steak Burrito,18.5
Steak Bowl,18.5
Carnitas Burrito,18.5
Steak Soft Tacos,18.5
Steak Burrito,17.98
Steak Bowl,17.98
Carnitas Crispy Tacos,17.98
Steak Burrito,17.98
Steak Crispy Tacos,17.98
Steak Burrito,17.98
Steak Burrito,17.98
Chips and Guacamole,17.8
Chicken Salad Bowl,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
Chicken Burrito,17.5
Chicken Soft Tacos,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
Chicken Bowl,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
Chicken Burrito,17.5
Chicken Soft Tacos,17.5
Chicken Burrito,17.5
Chicken Burrito,17.5
Chicken Bowl,17.5
